Bid Number,School,Debater 1,Debater 2,Year
12,Emory,Bill Brewster,Mike Hancock,1982
13,Baylor,Katherine Lunsford,Robert Mackley,1982
14,Loyola Marymount,John Doran,Tim Sanders,1982
15,Baylor,William Fouche,Vance Wittie,1982
16,Arizona,Sam Cohen,Tim Norman,1982
,,,,
1,Samford,Melanie Gardner,Erik Walker,1983
2,Dartmouth,Robin Jacobsohn,Thomas Lyon,1983
3,Georgetown,John Barrett,Darin Snyder,1983
4,Northwestern,Doug Sigel,David Weisberger,1983
5,Kansas,Mark Gidley,Rodger Payne,1983
6,Dartmouth,Leonard Gail,Mark Koulogeorge,1983
7,Harvard,Jonathan Massey,Jonathan Wiener,1983
8,Baylor,Katherine Lunsford,Robert Mackley,1983
9,Northwestern,Lance Rosensweig,Rick Zeilenga,1983
10,Loyola Marymount,Doug Cotton,Jeff Thomas,1983
11,Arizona,Sam Cohen,Steve Goldstein,1983
12,Emory,Bill Brewster,Mike Hancock,1983
13,Loyola Marymount,Larry Panek,Tim Sanders,1983
14,Emory,Lee Gregory,Rich Robins,1983
15,Augustana SD,Cindy Leiferman,Steve Simmons,1983
16,Bates,Steve Dolley,Glenn Graham,1983
,,,,
1,Dartmouth,Leonard Gail,Mark Koulogeorge,1984
2,Harvard,Jonathan Massey,Jonathan Wiener,1984
3,Emory,Bill Brewster,Rich Robins,1984
4,Loyola Marymount,Larry Panek,Tim Sanders,1984
5,Northwestern,Bob Easton,Doug Sigel,1984
6,Bates,Steven Dolley,Glenn Graham,1984
7,Georgetown,Ken Karas,Darin Snyder,1984
8,Louisville,Cindy Leiferman,Mark Whitehead,1984
9,West Georgia,Scott Forster,Lewis Lamb,1984
10,Wake Forest,David Cheshier,Greg Leman,1984
11,Macalester,Patty Davies,Greg Mastel,1984
12,Arizona,Clif Barry,Eric Fryar,1984
13,University of Kentucky,Michael Mankins,Ouita Papka,1984
14,Dartmouth,Meredith McClintock,Karen McGaffey,1984
15,Kansas,Jerry Gaines,David Rhaesa,1984
16,Samford,Don Hall,Forrest Kontomitras,1984
,,,,
1,Claremont,David Bloom,Greg Mastel,1985
2,University of Kentucky,Michael Mankins,Ouita Papka,1985
3,Baylor,Mark Dyer,Lyn Robbins,1985
4,Harvard,Jonathan Massey,Ed Swaine,1985
5,Bates,Glenn Graham,Paul Rosenthal,1985
6,Northwestern,Les Lynn,Doug Sigel,1985
7,Emory,Doug Arney,Scott Segal,1985
8,Massachusetts,Mark Friedman,Danny Povinelli,1985
9,Dartmouth,Erik Jaffe,Karen McGaffey,1985
10,Loyola Marymount,John Doran,Peter Ferguson,1985
11,Eastern Illinois,Jon-Pierre Frenza,Jeff LaFave,1985
12,Kansas,John Culver,Jerry Gaines,1985
13,Georgia State,Bill Russell,William Varnadoe,1985
14,Louisville,Lynn Bearden,Mark Whitehead,1985
15,Iowa,Robert Garman,Karla Leeper,1985
16,North Carolina,Mike Egues,Jeremy Ofseyer,1985
,,,,
1,Massachusetts,Mark Friedman,Danny Povinelli,1986
2,Dartmouth,Erik Jaffe,Chrissy Mahoney,1986
3,Baylor,Mark Dyer,Lyn Robbins,1986
4,North Carolina,Mike Egues,Jeremy Ofseyer,1986
5,Emory,Scott Segal,Michael Weiss,1986
6,Northwestern,Les Lynn,Cate Palczewski,1986
7,Redlands,Jeff LaFave,Jeff Leon,1986
8,University of Kentucky,David Brownell,Ouita Papka,1986
9,Eastern Illinois,Jon-Pierre Frenza,James Lucas,1986
10,Kansas,John Culver,George Lopez,1986
11,University of Kentucky,Paul Flowers,Eric Kupferberg,1986
12,Dartmouth,Craig Budner,Ron Merriman,1986
13,Georgetown,Michael Mazarr,Stuart Rabin,1986
14,Samford,Gus Boozer,Keith Herron,1986
15,Gonzaga,Bob Gilmore,Peter Hammer,1986
16,Baylor,David Giardina,Griffin Vincent,1986
,,,,
1,Baylor,Lyn Robbins,Griffin Vincent,1987
2,Kansas,John Culver,George Lopez,1987
3,Redlands,Jeff LaFave,Jeff Leon,1987
4,Dartmouth,Craig Budner,Chrissy Mahoney,1987
5,Dartmouth,Shaun Martin,Rob Wick,1987
6,Harvard,Marc Goldman,Charlie Synn,1987
7,Northwestern,Julie Arthur,Ben Attias,1987
8,Baylor,David Giardina,Martin Loeber,1987
9,Northwestern,Gordon Mitchell,Cate Palczewski,1987
10,Kansas,Steve Ellis,Barry Pickens,1987
11,University of Kentucky,Scott Hodges,Eric Kupferberg,1987
12,Augustana SD,Greg Abbott,Phil Voight,1987
13,University of Michigan,Denise Loshbough,Jim Speta,1987
14,West Georgia,Alfred Evans,James Sizemore,1987
15,Nebraska,John Fritch,Bradley Walker,1987
16,Louisville,Mike Greco,Russ Rogers,1987
,,,,
1,Northwestern,Ben Attias,Gordon Mitchell,1988
2,Dartmouth,Shaun Martin,Rob Wick,1988
3,University of Michigan,Michael Green,Andrew Schrank,1988
4,Massachusetts,Mark Friedman,Stacey Kinnamon,1988
5,Wake Forest,Gloria Cabada,Alan Coverstone,1988
6,Baylor,Martin Loeber,Danny Plants,1988
7,Kansas,Barry Pickens,Pat Whalen,1988
8,Weber State,Tony Justman,Jimmy Summers,1988
9,Harvard,David Coale,Chris Decker,1988
10,University of Michigan,Denise Loshbough,Jim Speta,1988
11,Emory,Frank Lowrey,Gus Puryear,1988
12,University of Kentucky,Scott Hodges,T.A. McKinney,1988
13,Loyola Marymount,Todd Flaming,Madison Laird,1988
14,Northern Iowa,Aaron Hawbaker,Ken Schuler,1988
15,Baylor,David Giardina,Robert Wood,1988
16,Louisville,Mike Greco,Russ Rogers,1988
,,,,
1,Baylor,Martin Loeber,Danny Plants,1989
2,Northwestern,Gordon Mitchell,Dani Reiter,1989
3,University of Michigan,Andrew Schrank,Joe Thompson,1989
4,Harvard,David Coale,Alex Lennon,1989
5,University of Michigan,David Brownell,Denise Loshbough,1989
6,Emory,Frank Lowrey,Gus Puryear,1989
7,Weber State,Ted Bixby,Jim Summers,1989
8,Kansas,Charles Krauss,Barry Pickens,1989
9,Pittsburgh,Carl Craver,Jarle Crocker,1989
10,Redlands,David Herrick,Marc Rubinstein,1989
11,Wake Forest,Alan Coverstone,Judd Kimball,1989
12,Dartmouth,Scott Groussman,Neal Katyal,1989
13,University of Kentucky,T.A. McKinney,Calvin Rockefeller,1989
14,Northern Iowa,Aaron Hawbaker,Ken Schuler,1989
15,George Mason,Alan Stewart,Laura Tuell-Parcher,1989
16,Kansas,Peter Canninstra,Pat Whalen,1989
,,,,
1,Harvard,David Coale,Alex Lennon,1990
2,Northern Iowa,Aaron Hawbaker,Ken Schuler,1990
3,Redlands,Rodger Cole,Marc Rubinstein,1990
4,Wake Forest,Alan Coverstone,Judd Kimball,1990
5,Dartmouth,Scott Groussman,Neal Katyal,1990
6,Loyola Marymount,David Breshears,Madison Laird,1990
7,University of Kentucky,T.A. McKinney,Calvin Rockefeller,1990
8,Iowa,Nathan Coco,Charles Smith,1990
9,Weber State,Ted Bixby,James Martin,1990
10,Harvard,Samuel Cooper,Matthew Schnall,1990
11,Texas,Ryan Goodman,David Hugin,1990
12,Emory,Jason Bergman,Jeffrey Richardson,1990
13,Emory,Jim Archibald,Darren Summerville,1990
14,George Mason,Alan Stewart,Laura Tuell-Parcher,1990
15,Iowa,Randal Sandler,Shawn Shearer,1990
16,Pittsburgh,Frank Bender,Jarle Crocker,1990
,,,,
1,Redlands,Rodger Cole,Marc Rubinstein,1991
2,Dartmouth,Kenny Agran,Neal Katyal,1991
3,University of Michigan,Colin Kahl,Matthew Shors,1991
4,University of Kentucky,T.A. McKinney,David Walsh,1991
5,Wake Forest,Brian Lain,Mike Ridge,1991
6,Iowa,Nathan Coco,Charles Smith,1991
7,Redlands,Paul Derby,Kevin Tessier,1991
8,Texas,Nikheel Dhekne,David Wyrick,1991
9,George Mason,Edward Lang,Laura Tuell-Parcher,1991
10,Iowa,Omar Guevara,Randal Sandler,1991
11,Augustana SD,Michael LeMay,Chris Moorhead,1991
12,Wake Forest,Mark Grant,Bill Ziegelmueller,1991
13,Pittsburgh,Frank Bender,Jarle Crocker,1991
14,Texas,David Breshears,Brian McBride,1991
15,Emory,Jeffrey Richardson,Darren Summerville,1991
16,Northwestern,Elizabeth Murphy,Daniel Sturgis,1991
,,,,
1,Dartmouth,Kenny Agran,Ara Lovitt,1992
2,Georgetown,Ahilan Arulanantham,Kevin Kuswa,1992
3,Iowa,Nathan Coco,Charles Smith,1992
4,Redlands,Paul Derby,Kevin Tessier,1992
5,Texas,Ryan Goodman,James Martin,1992
6,Wake Forest,Brian Lain,Mike Ridge,1992
7,Iowa,Omar Guevara,Randal Sandler,1992
8,Texas,Brian McBride,David Wyrick,1992
9,Augustana SD,Michael LeMay,Chris Moorhead,1992
10,North Carolina,Tom Goldstein,Joy Rhyne,1992
11,Harvard,Fred Karem,Rebecca Tushnet,1992
